date_time,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
2023-09-15 18:00:00,1.2730,0.6830,-0.5550,0.3285,1.2810,0.4645,0.9925
2023-09-15 19:00:00,1.2740,0.6840,-0.5540,0.3290,1.2820,0.4650,0.9930
2023-09-15 20:00:00,1.2634,0.6765,-0.5612,0.3289,1.2834,0.4658,0.9940
2023-09-15 21:00:00,1.2650,0.6780,-0.5600,0.3295,1.2845,0.4660,0.9945
2023-09-15 22:00:00,1.2670,0.6795,-0.5590,0.3300,1.2855,0.4665,0.9950
2023-09-16 08:00:00,1.2789,0.6890,-0.5656,0.3300,1.2901,0.4679,0.9965
2023-09-16 09:00:00,1.2800,0.6900,-0.5640,0.3305,1.2910,0.4685,0.9970
2023-09-16 10:00:00,1.2820,0.6920,-0.5620,0.3310,1.2920,0.4690,0.9975
2023-09-16 11:00:00,1.2790,0.6900,-0.5635,0.3308,1.2915,0.4688,0.9973
2023-09-16 12:00:00,1.2718,0.6846,-0.5693,0.3312,1.2873,0.4700,0.9990
2023-09-16 13:00:00,1.2730,0.6860,-0.5680,0.3315,1.2880,0.4705,0.9995
2023-09-16 14:00:00,1.2750,0.6880,-0.5660,0.3320,1.2890,0.4710,1.0000
2023-09-16 15:00:00,1.2740,0.6870,-0.5670,0.3318,1.2885,0.4708,0.9998
2023-09-16 16:00:00,1.2695,0.6823,-0.5710,0.3324,1.2859,0.4721,1.0015
2023-09-16 17:00:00,1.2705,0.6835,-0.5700,0.3326,1.2865,0.4723,1.0017
2023-09-16 18:00:00,1.2720,0.6850,-0.5690,0.3330,1.2870,0.4725,1.0020
2023-09-16 19:00:00,1.2735,0.6865,-0.5680,0.3332,1.2875,0.4727,1.0022
2023-09-16 20:00:00,1.2732,0.6850,-0.5687,0.3335,1.2886,0.4742,1.0040
2023-09-16 21:00:00,1.2740,0.6860,-0.5680,0.3337,1.2890,0.4744,1.0042
2023-09-16 22:00:00,1.2750,0.6870,-0.5670,0.3340,1.2895,0.4746,1.0044
2023-09-17 08:00:00,1.2746,0.6864,-0.5672,0.3347,1.2872,0.4763,1.0065
2023-09-17 09:00:00,1.2750,0.6870,-0.5665,0.3350,1.2875,0.4765,1.0067
2023-09-17 10:00:00,1.2760,0.6880,-0.5655,0.3352,1.2880,0.4768,1.0070
2023-09-17 11:00:00,1.2755,0.6875,-0.5660,0.3351,1.2878,0.4767,1.0069
2023-09-17 12:00:00,1.2759,0.6877,-0.5658,0.3358,1.2885,0.4784,1.0090
2023-09-17 13:00:00,1.2765,0.6882,-0.5652,0.3360,1.2888,0.4786,1.0092
2023-09-17 14:00:00,1.2770,0.6885,-0.5648,0.3362,1.2890,0.4788,1.0094
2023-09-17 15:00:00,1.2768,0.6884,-0.5650,0.3361,1.2889,0.4787,1.0093
2023-09-17 16:00:00,1.2773,0.6891,-0.5644,0.3369,1.2899,0.4805,1.0115
2023-09-17 17:00:00,1.2775,0.6893,-0.5642,0.3370,1.2900,0.4806,1.0116
2023-09-17 18:00:00,1.2778,0.6896,-0.5639,0.3372,1.2902,0.4808,1.0118
2023-09-17 19:00:00,1.2780,0.6898,-0.5637,0.3374,1.2904,0.4810,1.0120
2023-09-17 20:00:00,1.2786,0.6904,-0.5630,0.3380,1.2912,0.4826,1.0140
2023-09-17 21:00:00,1.2788,0.6906,-0.5628,0.3382,1.2914,0.4828,1.0142
2023-09-17 22:00:00,1.2790,0.6908,-0.5626,0.3384,1.2916,0.4830,1.0144
2023-09-18 08:00:00,1.2800,0.6918,-0.5616,0.3391,1.2926,0.4847,1.0165
2023-09-18 09:00:00,1.2810,0.6925,-0.5610,0.3393,1.2930,0.4850,1.0170
2023-09-18 10:00:00,1.2825,0.6935,-0.5600,0.3396,1.2935,0.4855,1.0175
2023-09-18 11:00:00,1.2815,0.6930,-0.5605,0.3395,1.2932,0.4853,1.0173
2023-09-18 12:00:00,1.2813,0.6931,-0.5602,0.3402,1.2939,0.4868,1.0190
2023-09-18 13:00:00,1.2818,0.6934,-0.5598,0.3404,1.2941,0.4870,1.0192
2023-09-18 14:00:00,1.2820,0.6936,-0.5595,0.3406,1.2943,0.4872,1.0194
2023-09-18 15:00:00,1.2819,0.6935,-0.5596,0.3405,1.2942,0.4871,1.0193
2023-09-18 16:00:00,1.2827,0.6945,-0.5588,0.3413,1.2953,0.4889,1.0215
2023-09-18 17:00:00,1.2829,0.6947,-0.5586,0.3414,1.2954,0.4891,1.0217
2023-09-18 18:00:00,1.2832,0.6950,-0.5583,0.3416,1.2956,0.4893,1.0219
2023-09-18 19:00:00,1.2834,0.6952,-0.5581,0.3418,1.2958,0.4895,1.0221
2023-09-18 20:00:00,1.2840,0.6958,-0.5574,0.3424,1.2966,0.4910,1.0240
2023-09-18 21:00:00,1.2842,0.6960,-0.5572,0.3426,1.2968,0.4912,1.0242
2023-09-18 22:00:00,1.2844,0.6962,-0.5570,0.3428,1.2970,0.4914,1.0244
2023-09-19 08:00:00,1.2854,0.6972,-0.5560,0.3435,1.2980,0.4931,1.0265
2023-09-19 09:00:00,1.2860,0.6978,-0.5555,0.3437,1.2983,0.4934,1.0268
2023-09-19 10:00:00,1.2870,0.6985,-0.5545,0.3440,1.2988,0.4938,1.0272
2023-09-19 11:00:00,1.2865,0.6982,-0.5550,0.3439,1.2986,0.4936,1.0270
2023-09-19 12:00:00,1.2867,0.6985,-0.5546,0.3446,1.2993,0.4952,1.0290
2023-09-19 13:00:00,1.2872,0.6988,-0.5542,0.3448,1.2995,0.4954,1.0292
2023-09-19 14:00:00,1.2875,0.6990,-0.5540,0.3450,1.2997,0.4956,1.0294
2023-09-19 15:00:00,1.2874,0.6989,-0.5541,0.3449,1.2996,0.4955,1.0293
2023-09-19 16:00:00,1.2881,0.6999,-0.5532,0.3457,1.3007,0.4973,1.0315
2023-09-19 17:00:00,1.2883,0.7001,-0.5530,0.3458,1.3008,0.4975,1.0317
2023-09-19 18:00:00,1.2886,0.7004,-0.5527,0.3460,1.3010,0.4977,1.0319
2023-09-19 19:00:00,1.2888,0.7006,-0.5525,0.3462,1.3012,0.4979,1.0321
2023-09-19 20:00:00,1.2894,0.7012,-0.5518,0.3468,1.3020,0.4994,1.0340
2023-09-19 21:00:00,1.2896,0.7014,-0.5516,0.3470,1.3022,0.4996,1.0342
2023-09-19 22:00:00,1.2898,0.7016,-0.5514,0.3472,1.3024,0.4998,1.0344
2023-09-20 08:00:00,1.4000,0.8000,-0.5000,0.3500,1.3500,0.5000,1.0500
2023-09-20 09:00:00,1.4200,0.8200,-0.4900,0.3550,1.3600,0.5050,1.0550
2023-09-20 10:00:00,1.3800,0.7800,-0.5100,0.3450,1.3400,0.4950,1.0450
2023-09-20 11:00:00,1.3900,0.7900,-0.5050,0.3475,1.3425,0.4975,1.0475
2023-09-20 12:00:00,1.1000,0.5000,-0.7000,0.2000,1.0500,0.3000,0.9000
2023-09-20 13:00:00,1.1300,0.5300,-0.6800,0.2100,1.0600,0.3100,0.9100
2023-09-20 14:00:00,1.2000,0.6000,-0.6500,0.2500,1.1000,0.3500,0.9500
2023-09-20 15:00:00,1.1800,0.5800,-0.6600,0.2400,1.0900,0.3400,0.9400
2023-09-20 16:00:00,1.3500,0.7500,-0.5500,0.3400,1.3400,0.4900,1.0400
2023-09-20 17:00:00,1.3600,0.7600,-0.5450,0.3420,1.3420,0.4920,1.0420
2023-09-20 18:00:00,1.3700,0.7700,-0.5350,0.3430,1.3430,0.4930,1.0430
2023-09-20 19:00:00,1.3750,0.7750,-0.5300,0.3440,1.3440,0.4940,1.0440
2023-09-20 20:00:00,1.3600,0.7600,-0.5400,0.3450,1.3450,0.4950,1.0450
2023-09-20 21:00:00,1.3550,0.7550,-0.5450,0.3445,1.3445,0.4945,1.0445
2023-09-20 22:00:00,1.3400,0.7400,-0.5550,0.3420,1.3420,0.4920,1.0420
2023-09-20 23:00:00,1.3300,0.7300,-0.5600,0.3400,1.3400,0.4900,1.0400
2023-09-20 23:30:00,1.3200,0.7200,-0.5650,0.3380,1.3380,0.4880,1.0380
2023-09-20 23:45:00,1.3100,0.7100,-0.5700,0.3360,1.3360,0.4860,1.0360
2023-09-20 23:55:00,1.3000,0.7000,-0.5750,0.3340,1.3340,0.4840,1.0340
2023-09-20 23:59:00,1.2900,0.6900,-0.5800,0.3320,1.3320,0.4820,1.0320
