ID,DLC,Timestamp,Data_0,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7
153,8,289,0,130,0,0,2,0,0,0
111,1,289,49,130,0,0,4,0,0,0
112,1,289,0,130,0,0,4,0,0,0
111,1,297,49,130,0,0,236,202,0,36
112,1,297,0,130,0,0,4,0,0,0
305,5,299,0,0,0,0,0,202,0,36
111,1,307,49,0,0,0,236,202,0,36
112,1,307,0,0,0,0,4,0,0,0
305,5,309,0,0,0,0,0,202,0,36
111,1,317,49,0,0,0,236,202,0,36
112,1,317,0,0,0,0,4,0,0,0
502,1,318,1,0,0,0,4,0,0,0
503,1,318,0,0,0,0,4,0,0,0
504,1,318,6,0,0,0,4,0,0,0
506,5,318,41,147,143,0,1,0,0,0
507,1,318,0,147,143,0,4,0,0,0
415,1,319,1,147,143,0,236,202,0,36
416,7,319,0,0,0,0,0,0,0,0
300,1,319,1,0,0,0,4,0,0,0
302,5,319,41,147,143,0,1,0,0,0
303,2,319,88,4,143,0,4,0,0,0
304,3,319,0,0,0,0,4,0,0,0
306,4,320,7,0,0,0,4,0,0,0
307,4,320,0,0,0,0,4,0,0,0
308,4,320,0,0,0,0,4,0,0,0
309,1,320,0,0,0,0,4,0,0,0
397,1,321,0,0,0,0,236,202,0,36
399,2,321,0,0,0,0,4,0,0,0
305,5,321,0,0,0,0,0,0,0,0
417,4,321,0,0,0,0,4,0,0,0
418,4,322,0,0,0,0,4,0,0,0
419,5,322,41,147,143,0,1,0,0,0
420,1,322,0,147,143,0,4,0,0,0
491,1,322,0,147,143,0,4,0,0,0
493,2,322,0,0,143,0,4,0,0,0
501,1,322,0,0,143,0,4,0,0,0
551,2,322,0,0,143,0,4,0,0,0
111,1,327,49,0,143,0,236,202,0,36
112,1,327,0,0,143,0,4,0,0,0
305,5,329,0,0,0,0,0,202,0,36
111,1,337,49,0,0,0,236,202,0,36
112,1,337,0,0,0,0,4,0,0,0
305,5,339,0,0,0,0,0,202,0,36
111,1,347,49,0,0,0,236,202,0,36
112,1,347,0,0,0,0,4,0,0,0
305,5,349,0,0,0,0,0,202,0,36
111,1,357,49,0,0,0,236,202,0,36
112,1,357,0,0,0,0,4,0,0,0
305,5,359,0,0,0,0,0,202,0,36
111,1,367,49,0,0,0,236,202,0,36
112,1,367,0,0,0,0,4,0,0,0
305,5,369,0,0,0,0,0,202,0,36
111,1,377,49,0,0,0,236,202,0,36
112,1,377,0,0,0,0,4,0,0,0
305,5,379,0,0,0,0,0,202,0,36
100,1,385,1,0,0,0,236,202,0,36
120,5,385,0,0,0,0,0,0,0,0
121,4,386,0,0,0,0,4,0,0,0
122,2,386,244,1,0,0,4,0,0,0
123,4,386,0,0,0,0,4,0,0,0
130,8,387,46,76,0,48,245,159,134,1
131,3,387,0,0,0,48,4,0,0,0
132,3,387,224,230,11,48,4,0,0,0
133,8,388,232,163,143,62,250,232,163,15
140,5,388,129,28,201,14,1,0,0,0
141,6,388,0,0,0,0,0,0,0,0
142,4,388,0,0,0,0,4,0,0,0
143,1,388,0,0,0,0,4,0,0,0
151,3,389,40,8,0,36,191,102,2,8
305,5,389,0,0,0,0,0,0,0,0
153,8,389,0,130,0,0,2,0,0,0
111,1,389,49,130,0,0,2,0,0,0
112,1,389,0,130,0,0,4,0,0,0
111,1,397,56,130,0,0,236,202,0,36
112,1,397,0,130,0,0,4,0,0,0
305,5,399,0,0,0,0,0,202,0,36
111,1,407,56,0,0,0,236,202,0,36
112,1,407,0,0,0,0,4,0,0,0
305,5,409,0,0,0,0,0,202,0,36
111,1,417,56,0,0,0,236,202,0,36
112,1,417,0,0,0,0,4,0,0,0
502,1,418,1,0,0,0,4,0,0,0
503,1,418,0,0,0,0,4,0,0,0
504,1,418,6,0,0,0,4,0,0,0
506,5,418,41,147,143,0,1,0,0,0
507,1,418,0,147,143,0,4,0,0,0
415,1,419,1,147,143,0,236,202,0,36
416,7,419,0,0,0,0,0,0,0,0
300,1,419,1,0,0,0,4,0,0,0
302,5,419,41,147,143,0,1,0,0,0
303,2,419,88,4,143,0,4,0,0,0
304,3,419,0,0,0,0,4,0,0,0
306,4,420,7,0,0,0,4,0,0,0
307,4,420,0,0,0,0,4,0,0,0
308,4,420,0,0,0,0,4,0,0,0
309,1,420,0,0,0,0,4,0,0,0
397,1,421,0,0,0,0,236,202,0,36
399,2,421,0,0,0,0,4,0,0,0
305,5,421,0,0,0,0,0,0,0,0
417,4,421,0,0,0,0,4,0,0,0
418,4,422,0,0,0,0,4,0,0,0
419,5,422,41,147,143,0,1,0,0,0
420,1,422,0,147,143,0,1,0,0,0
491,1,422,0,147,143,0,1,0,0,0
493,2,422,0,0,143,0,4,0,0,0
501,1,422,0,0,143,0,4,0,0,0
551,2,422,0,0,143,0,4,0,0,0
111,1,427,56,0,143,0,236,202,0,36
112,1,427,0,0,143,0,4,0,0,0
305,5,429,0,0,0,0,0,202,0,36
111,1,437,56,0,0,0,236,202,0,36
112,1,437,0,0,0,0,4,0,0,0
305,5,439,0,0,0,0,0,202,0,36
111,1,447,56,0,0,0,236,202,0,36
112,1,447,0,0,0,0,4,0,0,0
305,5,449,0,0,0,0,0,202,0,36
111,1,457,56,0,0,0,236,202,0,36
112,1,457,0,0,0,0,4,0,0,0
305,5,459,0,0,0,0,0,202,0,36
111,1,467,56,0,0,0,236,202,0,36
112,1,467,0,0,0,0,4,0,0,0
305,5,469,0,0,0,0,0,202,0,36
111,1,477,56,0,0,0,236,202,0,36
112,1,477,0,0,0,0,4,0,0,0
305,5,479,0,0,0,0,0,202,0,36
100,1,485,11,0,0,0,236,202,0,36
120,5,485,0,0,0,0,0,0,0,0
121,4,486,0,0,0,0,4,0,0,0
122,2,486,244,1,0,0,4,0,0,0
123,4,486,0,0,0,0,4,0,0,0
130,8,487,0,0,0,48,117,0,0,0
131,3,487,0,0,0,48,4,0,0,0
132,3,487,224,230,11,48,4,0,0,0
133,8,488,232,163,143,62,250,232,163,15
140,5,488,129,28,201,14,1,0,0,0
141,6,488,0,0,0,0,0,0,0,0
142,4,488,0,0,0,0,4,0,0,0
143,1,488,0,0,0,0,4,0,0,0
151,3,489,44,8,0,0,4,0,0,0
305,5,489,0,0,0,0,0,0,0,0
153,8,489,64,130,0,0,2,0,0,0
111,1,489,56,130,0,0,4,0,0,0
112,1,489,0,130,0,0,4,0,0,0
111,1,497,56,130,0,0,236,202,0,36
112,1,497,0,130,0,0,4,0,0,0
305,5,499,0,0,0,0,0,202,0,36
111,1,507,56,0,0,0,236,202,0,36
112,1,507,0,0,0,0,4,0,0,0
305,5,509,0,0,0,0,0,202,0,36
111,1,517,56,0,0,0,236,202,0,36
112,1,517,0,0,0,0,4,0,0,0
502,1,518,1,0,0,0,4,0,0,0
503,1,518,0,0,0,0,4,0,0,0
504,1,518,6,0,0,0,4,0,0,0
506,5,518,41,147,143,0,1,0,0,0
507,1,518,0,147,143,0,4,0,0,0
415,1,519,1,147,143,0,236,202,0,36
416,7,519,0,0,0,0,0,0,0,0
300,1,519,1,0,0,0,4,0,0,0
302,5,519,41,147,143,0,1,0,0,0
303,2,519,89,4,143,0,4,0,0,0
304,3,519,0,0,0,0,4,0,0,0
306,4,520,7,0,0,0,4,0,0,0
307,4,520,0,0,0,0,4,0,0,0
308,4,520,0,0,0,0,4,0,0,0
309,1,520,0,0,0,0,4,0,0,0
397,1,521,0,0,0,0,236,202,0,36
399,2,521,0,0,0,0,4,0,0,0
305,5,521,0,0,0,0,0,0,0,0
417,4,521,0,0,0,0,4,0,0,0
418,4,522,0,0,0,0,4,0,0,0
419,5,522,41,147,143,0,1,0,0,0
420,1,522,0,147,143,0,4,0,0,0
491,1,522,0,147,143,0,4,0,0,0
493,2,522,0,0,143,0,4,0,0,0
501,1,522,0,0,143,0,4,0,0,0
551,2,522,0,0,143,0,4,0,0,0
111,1,527,56,0,143,0,236,202,0,36
112,1,527,0,0,143,0,4,0,0,0
305,5,529,0,0,0,0,0,202,0,36
111,1,537,56,0,0,0,236,202,0,36
112,1,537,0,0,0,0,4,0,0,0
305,5,539,0,0,0,0,0,202,0,36
111,1,547,56,0,0,0,236,202,0,36
112,1,547,0,0,0,0,4,0,0,0
305,5,549,0,0,0,0,0,202,0,36
111,1,557,56,0,0,0,236,202,0,36
112,1,557,0,0,0,0,4,0,0,0
305,5,559,0,0,0,0,0,202,0,36
111,1,567,56,0,0,0,236,202,0,36
112,1,567,0,0,0,0,4,0,0,0
305,5,569,0,0,0,0,0,202,0,36
111,1,577,56,0,0,0,236,202,0,36
112,1,577,0,0,0,0,4,0,0,0
305,5,579,0,0,0,0,0,202,0,36
100,1,585,11,0,0,0,236,202,0,36
120,5,585,0,0,0,0,0,0,0,0
121,4,586,0,0,0,0,4,0,0,0
122,2,586,244,1,0,0,4,0,0,0
123,4,586,0,0,0,0,4,0,0,0
130,8,587,91,152,0,48,245,159,134,1
131,3,587,0,0,0,48,4,0,0,0
132,3,587,224,230,11,48,4,0,0,0
133,8,588,232,163,143,62,250,232,163,15
140,5,588,129,28,201,14,1,0,0,0
141,6,588,0,0,0,0,0,0,0,0
142,4,588,0,0,0,0,4,0,0,0
143,1,588,0,0,0,0,4,0,0,0
151,3,589,44,8,0,1,0,0,0,0
305,5,589,0,0,0,0,0,0,0,0
153,8,589,64,130,0,0,2,0,0,0
111,1,589,56,130,0,0,4,0,0,0
112,1,589,0,130,0,0,4,0,0,0
111,1,597,56,130,0,0,236,202,0,36
112,1,597,0,130,0,0,4,0,0,0
305,5,599,0,0,0,0,0,202,0,36
111,1,607,56,0,0,0,236,202,0,36
112,1,607,0,0,0,0,4,0,0,0
305,5,609,0,0,0,0,0,202,0,36
111,1,617,56,0,0,0,236,202,0,36
112,1,617,0,0,0,0,4,0,0,0
502,1,618,1,0,0,0,4,0,0,0
503,1,618,0,0,0,0,4,0,0,0
504,1,618,6,0,0,0,4,0,0,0
506,5,618,41,147,143,0,1,0,0,0
507,1,618,0,147,143,0,1,0,0,0
415,1,619,1,147,143,0,236,202,0,36
416,7,619,0,0,0,0,0,0,0,0
300,1,619,1,0,0,0,0,0,0,0
302,5,619,41,147,143,0,1,0,0,0
303,2,619,89,4,143,0,1,0,0,0
304,3,619,0,0,0,0,4,0,0,0
306,4,620,7,0,0,0,4,0,0,0
307,4,620,0,0,0,0,4,0,0,0
308,4,620,0,0,0,0,4,0,0,0
309,1,620,0,0,0,0,4,0,0,0
397,1,621,0,0,0,0,236,202,0,36
399,2,621,0,0,0,0,4,0,0,0
305,5,621,0,0,0,0,0,0,0,0
417,4,621,0,0,0,0,4,0,0,0
418,4,622,0,0,0,0,4,0,0,0
419,5,622,41,147,143,0,1,0,0,0
420,1,622,0,147,143,0,4,0,0,0
491,1,622,0,147,143,0,4,0,0,0
493,2,622,0,0,143,0,4,0,0,0
501,1,622,0,0,143,0,4,0,0,0
551,2,622,0,0,143,0,4,0,0,0
111,1,627,56,0,143,0,236,202,0,36
112,1,627,0,0,143,0,4,0,0,0
305,5,629,0,0,0,0,0,202,0,36
111,1,637,56,0,0,0,236,202,0,36
112,1,637,0,0,0,0,4,0,0,0
305,5,639,0,0,0,0,0,202,0,36
111,1,647,56,0,0,0,236,202,0,36
112,1,647,0,0,0,0,4,0,0,0
305,5,649,0,0,0,0,0,202,0,36
111,1,657,56,0,0,0,236,202,0,36
112,1,657,0,0,0,0,4,0,0,0
305,5,659,0,0,0,0,0,202,0,36
111,1,667,56,0,0,0,236,202,0,36
112,1,667,0,0,0,0,4,0,0,0
305,5,669,0,0,0,0,0,202,0,36
111,1,677,56,0,0,0,236,202,0,36
112,1,677,0,0,0,0,4,0,0,0
305,5,679,0,0,0,0,0,202,0,36
100,1,685,11,0,0,0,236,202,0,36
120,5,685,0,0,0,0,0,0,0,0
121,4,686,0,0,0,0,4,0,0,0
122,2,686,244,1,0,0,4,0,0,0
123,4,686,0,0,0,0,4,0,0,0
130,8,687,11,19,0,48,245,159,134,1
131,3,687,0,0,0,48,4,0,0,0
132,3,687,224,230,11,48,4,0,0,0
133,8,688,232,163,143,62,250,232,163,15
140,5,688,129,28,201,14,1,0,0,0
141,6,688,0,0,0,0,0,0,0,0
142,4,688,0,0,0,0,4,0,0,0
143,1,688,0,0,0,0,4,0,0,0
151,3,689,44,8,0,1,0,0,0,0
305,5,689,0,0,0,0,0,0,0,0
153,8,689,64,130,0,0,2,0,0,0
111,1,689,56,130,0,0,4,0,0,0
112,1,689,0,130,0,0,4,0,0,0
111,1,697,56,130,0,0,236,202,0,36
112,1,697,0,130,0,0,4,0,0,0
305,5,699,0,0,0,0,0,202,0,36
111,1,707,56,0,0,0,236,202,0,36
112,1,707,0,0,0,0,4,0,0,0
305,5,709,0,0,0,0,0,202,0,36
111,1,717,56,0,0,0,236,202,0,36
112,1,717,0,0,0,0,4,0,0,0
502,1,718,1,0,0,0,4,0,0,0
503,1,718,0,0,0,0,4,0,0,0
504,1,718,6,0,0,0,4,0,0,0
506,5,718,41,147,143,0,1,0,0,0
507,1,718,0,147,143,0,4,0,0,0
415,1,719,1,147,143,0,236,202,0,36
416,7,719,0,0,0,0,0,0,0,0
300,1,719,1,0,0,0,4,0,0,0
302,5,719,41,147,143,0,1,0,0,0
303,2,719,89,4,143,0,4,0,0,0
304,3,719,0,0,0,0,4,0,0,0
306,4,720,9,0,0,0,4,0,0,0
307,4,720,0,0,0,0,4,0,0,0
308,4,720,0,0,0,0,4,0,0,0
309,1,720,0,0,0,0,4,0,0,0
397,1,721,0,0,0,0,236,202,0,36
399,2,721,0,0,0,0,4,0,0,0
305,5,721,0,0,0,0,0,0,0,0
417,4,721,0,0,0,0,4,0,0,0
418,4,722,0,0,0,0,4,0,0,0
419,5,722,41,147,143,0,1,0,0,0
420,1,722,0,147,143,0,4,0,0,0
491,1,722,0,147,143,0,4,0,0,0
493,2,722,0,0,143,0,4,0,0,0
501,1,722,0,0,143,0,4,0,0,0
551,2,722,0,0,143,0,4,0,0,0
111,1,727,56,0,143,0,236,202,0,36
112,1,727,0,0,143,0,4,0,0,0
305,5,729,0,0,0,0,0,202,0,36
111,1,737,56,0,0,0,236,202,0,36
112,1,737,0,0,0,0,4,0,0,0
305,5,739,0,0,0,0,0,202,0,36
111,1,747,56,0,0,0,236,202,0,36
112,1,747,0,0,0,0,4,0,0,0
305,5,749,0,0,0,0,0,202,0,36
111,1,757,56,0,0,0,236,202,0,36
112,1,757,0,0,0,0,4,0,0,0
305,5,759,0,0,0,0,0,202,0,36
111,1,767,56,0,0,0,236,202,0,36
112,1,767,0,0,0,0,4,0,0,0
305,5,769,0,0,0,0,0,202,0,36
111,1,777,56,0,0,0,236,202,0,36
112,1,777,0,0,0,0,4,0,0,0
305,5,779,0,0,0,0,0,202,0,36
100,1,785,11,0,0,0,236,202,0,36
120,5,785,0,0,0,0,0,0,0,0
121,4,786,0,0,0,0,4,0,0,0
122,2,786,244,1,0,0,4,0,0,0
123,4,786,0,0,0,0,4,0,0,0
130,8,787,34,57,0,48,245,159,134,1
131,3,787,0,0,0,48,4,0,0,0
132,3,787,224,230,11,48,4,0,0,0
133,8,788,232,163,143,62,250,232,163,15
140,5,788,129,28,201,14,1,0,0,0
141,6,788,0,0,0,0,0,0,0,0
142,4,788,0,0,0,0,4,0,0,0
143,1,788,0,0,0,0,4,0,0,0
151,3,789,44,8,0,1,0,0,0,0
305,5,789,0,0,0,0,0,0,0,0
153,8,789,64,130,0,0,2,0,0,0
111,1,789,56,130,0,0,2,0,0,0
112,1,789,0,130,0,0,4,0,0,0
111,1,797,56,130,0,0,236,202,0,36
112,1,797,0,130,0,0,4,0,0,0
305,5,799,0,0,0,0,0,202,0,36
111,1,807,56,0,0,0,236,202,0,36
112,1,807,0,0,0,0,4,0,0,0
305,5,809,0,0,0,0,0,202,0,36
111,1,817,56,0,0,0,236,202,0,36
112,1,817,0,0,0,0,4,0,0,0
502,1,818,1,0,0,0,4,0,0,0
503,1,818,0,0,0,0,4,0,0,0
504,1,818,6,0,0,0,4,0,0,0
506,5,818,41,147,143,0,1,0,0,0
507,1,818,0,147,143,0,4,0,0,0
415,1,819,1,147,143,0,236,202,0,36
416,7,819,0,0,0,0,0,0,0,0
300,1,819,1,0,0,0,4,0,0,0
302,5,819,41,147,143,0,1,0,0,0
303,2,819,89,4,143,0,4,0,0,0
304,3,819,0,0,0,0,4,0,0,0
306,4,820,7,0,0,0,4,0,0,0
307,4,820,0,0,0,0,4,0,0,0
308,4,820,0,0,0,0,4,0,0,0
309,1,820,0,0,0,0,4,0,0,0
397,1,821,0,0,0,0,236,202,0,36
399,2,821,0,0,0,0,4,0,0,0
305,5,821,0,0,0,0,0,0,0,0
417,4,821,0,0,0,0,4,0,0,0
418,4,822,0,0,0,0,4,0,0,0
419,5,822,41,147,143,0,1,0,0,0
420,1,822,0,147,143,0,1,0,0,0
491,1,822,0,147,143,0,1,0,0,0
493,2,822,0,0,143,0,4,0,0,0
501,1,822,0,0,143,0,4,0,0,0
551,2,822,0,0,143,0,4,0,0,0
111,1,827,56,0,143,0,236,202,0,36
112,1,827,0,0,143,0,4,0,0,0
305,5,829,0,0,0,0,0,202,0,36
111,1,837,56,0,0,0,236,202,0,36
112,1,837,0,0,0,0,4,0,0,0
305,5,839,0,0,0,0,0,202,0,36
111,1,847,56,0,0,0,236,202,0,36
112,1,847,0,0,0,0,4,0,0,0
305,5,849,0,0,0,0,0,202,0,36
111,1,857,56,0,0,0,236,202,0,36
112,1,857,0,0,0,0,4,0,0,0
305,5,859,0,0,0,0,0,202,0,36
111,1,867,56,0,0,0,236,202,0,36
112,1,867,0,0,0,0,4,0,0,0
305,5,869,0,0,0,0,0,202,0,36
111,1,877,56,0,0,0,236,202,0,36
112,1,877,0,0,0,0,4,0,0,0
305,5,879,0,0,0,0,0,202,0,36
100,1,885,11,0,0,0,236,202,0,36
120,5,885,0,0,0,0,0,0,0,0
121,4,886,0,0,0,0,4,0,0,0
122,2,886,244,1,0,0,4,0,0,0
123,4,886,0,0,0,0,4,0,0,0
130,8,887,0,0,0,48,117,0,0,0
131,3,887,0,0,0,48,4,0,0,0
132,3,887,224,230,11,48,4,0,0,0
133,8,888,232,163,143,62,250,232,163,15
140,5,888,129,28,201,14,1,232,163,15
141,6,888,0,0,0,0,0,0,163,15
142,4,888,0,0,0,0,0,0,163,15
143,1,888,0,0,0,0,0,0,163,15
151,3,889,44,8,0,0,4,0,0,0
305,5,889,0,0,0,0,0,0,0,0
153,8,889,64,130,0,0,2,0,0,0
111,1,889,56,0,0,0,96,255,4,36
112,1,889,0,130,0,0,4,0,0,0
111,1,897,56,130,0,0,236,202,0,36
112,1,897,0,130,0,0,4,0,0,0
305,5,899,0,0,0,0,0,202,0,36
111,1,907,56,0,0,0,236,202,0,36
112,1,907,0,0,0,0,4,0,0,0
305,5,909,0,0,0,0,0,202,0,36
111,1,917,56,0,0,0,236,202,0,36
112,1,917,0,0,0,0,4,0,0,0
502,1,918,1,0,0,0,4,0,0,0
503,1,918,0,0,0,0,4,0,0,0
504,1,918,6,0,0,0,4,0,0,0
506,5,918,41,147,143,0,1,0,0,0
507,1,918,0,147,143,0,4,0,0,0
415,1,919,1,147,143,0,4,0,0,0
416,7,919,0,0,0,0,0,0,0,0
300,1,919,1,0,0,0,4,0,0,0
302,5,919,41,147,143,0,1,0,0,0
303,2,919,90,4,143,0,4,0,0,0
304,3,919,0,0,0,0,4,0,0,0
306,4,920,8,0,0,0,4,0,0,0
